og_coord,closest_coord,dist
"(3505.0, 4648.0)","(3449.0, 4663.0)",57.974
"(3039.0, 5005.0)","(3023.0, 4949.0)",58.241
"(3023.0, 4949.0)","(3039.0, 5005.0)",58.241
"(3337.0, 3797.0)","(3395.0, 3790.0)",58.421
"(2372.0, 5598.0)","(2428.0, 5581.0)",58.523
"(3619.0, 2932.0)","(3560.0, 2929.0)",59.076
"(2536.0, 5305.0)","(2489.0, 5269.0)",59.203
"(3300.0, 5296.0)","(3278.0, 5241.0)",59.237
"(2101.0, 5774.0)","(2155.0, 5749.0)",59.506
"(2155.0, 5749.0)","(2101.0, 5774.0)",59.506
"(1271.0, 8205.0)","(1212.0, 8197.0)",59.54
"(1212.0, 8197.0)","(1271.0, 8205.0)",59.54
"(1888.0, 9280.0)","(1830.0, 9294.0)",59.666
"(4310.0, 1435.0)","(4334.0, 1380.0)",60.008
"(4334.0, 1380.0)","(4310.0, 1435.0)",60.008
"(991.0, 9045.0)","(1048.0, 9064.0)",60.083
"(4967.0, 2149.0)","(4910.0, 2130.0)",60.083
"(1048.0, 9064.0)","(991.0, 9045.0)",60.083
"(5173.0, 1935.0)","(5139.0, 1885.0)",60.465
"(3402.0, 4033.0)","(3343.0, 4019.0)",60.638
"(3586.0, 4865.0)","(3584.0, 4804.0)",61.033
"(3395.0, 3490.0)","(3338.0, 3468.0)",61.098
"(3338.0, 3468.0)","(3395.0, 3490.0)",61.098
"(3928.0, 3774.0)","(3965.0, 3725.0)",61.4
"(3965.0, 3725.0)","(3928.0, 3774.0)",61.4
"(2787.0, 4554.0)","(2726.0, 4546.0)",61.522
"(2006.0, 7431.0)","(2054.0, 7392.0)",61.847
"(2237.0, 4974.0)","(2292.0, 4944.0)",62.65
"(2292.0, 4944.0)","(2237.0, 4974.0)",62.65
"(1011.0, 9221.0)","(1007.0, 9284.0)",63.127
"(1285.0, 8453.0)","(1347.0, 8467.0)",63.561
"(2771.0, 5013.0)","(2829.0, 5039.0)",63.561
"(3594.0, 4251.0)","(3561.0, 4306.0)",64.14
"(3550.0, 3187.0)","(3596.0, 3142.0)",64.351
"(3348.0, 3614.0)","(3396.0, 3571.0)",64.444
"(3396.0, 3571.0)","(3348.0, 3614.0)",64.444
"(3132.0, 3690.0)","(3100.0, 3634.0)",64.498
"(3100.0, 3634.0)","(3132.0, 3690.0)",64.498
"(5001.0, 1918.0)","(5041.0, 1969.0)",64.815
"(5041.0, 1969.0)","(5001.0, 1918.0)",64.815
"(1226.0, 9720.0)","(1287.0, 9742.0)",64.846
"(2990.0, 4734.0)","(2978.0, 4798.0)",65.115
"(2978.0, 4798.0)","(2990.0, 4734.0)",65.115
"(4020.0, 6029.0)","(4085.0, 6023.0)",65.276
"(4085.0, 6023.0)","(4020.0, 6029.0)",65.276
"(805.0, 8991.0)","(741.0, 9006.0)",65.734
"(2928.0, 3786.0)","(2964.0, 3841.0)",65.734
"(741.0, 9006.0)","(805.0, 8991.0)",65.734
"(2964.0, 3841.0)","(2928.0, 3786.0)",65.734
"(4598.0, 2127.0)","(4606.0, 2193.0)",66.483
"(1235.0, 8497.0)","(1285.0, 8453.0)",66.603
"(2917.0, 4259.0)","(2969.0, 4301.0)",66.843
"(1189.0, 7936.0)","(1186.0, 7869.0)",67.067
"(3294.0, 3574.0)","(3348.0, 3614.0)",67.201
"(2905.0, 5504.0)","(2879.0, 5566.0)",67.231
"(2069.0, 6030.0)","(2096.0, 5968.0)",67.624
"(4033.0, 2160.0)","(4100.0, 2148.0)",68.066
"(4100.0, 2148.0)","(4033.0, 2160.0)",68.066
"(1278.0, 8698.0)","(1282.0, 8630.0)",68.118
"(1282.0, 8630.0)","(1278.0, 8698.0)",68.118
"(4105.0, 2216.0)","(4100.0, 2148.0)",68.184
"(3779.0, 2417.0)","(3784.0, 2485.0)",68.184
"(1243.0, 9300.0)","(1303.0, 9267.0)",68.476
"(1303.0, 9267.0)","(1243.0, 9300.0)",68.476
"(1169.0, 9682.0)","(1226.0, 9720.0)",68.505
"(3853.0, 5358.0)","(3826.0, 5421.0)",68.542
"(1436.0, 4997.0)","(1503.0, 5012.0)",68.659
"(1336.0, 9145.0)","(1316.0, 9079.0)",68.964
"(2651.0, 4726.0)","(2698.0, 4675.0)",69.354
"(2698.0, 4675.0)","(2651.0, 4726.0)",69.354
"(3444.0, 3935.0)","(3498.0, 3979.0)",69.656
"(4227.0, 1409.0)","(4164.0, 1439.0)",69.778
"(1934.0, 6260.0)","(1891.0, 6315.0)",69.814
"(2435.0, 4998.0)","(2375.0, 4962.0)",69.971
"(2375.0, 4962.0)","(2435.0, 4998.0)",69.971
"(1163.0, 7747.0)","(1167.0, 7817.0)",70.114
"(1459.0, 8392.0)","(1389.0, 8385.0)",70.349
"(2845.0, 4252.0)","(2917.0, 4259.0)",72.339
"(4429.0, 2416.0)","(4390.0, 2355.0)",72.402
"(1305.0, 7591.0)","(1240.0, 7623.0)",72.45
"(1240.0, 7623.0)","(1305.0, 7591.0)",72.45
"(1828.0, 6837.0)","(1843.0, 6766.0)",72.567
"(3543.0, 4092.0)","(3606.0, 4055.0)",73.062
"(2757.0, 4447.0)","(2828.0, 4429.0)",73.246
"(2828.0, 4429.0)","(2757.0, 4447.0)",73.246
"(3045.0, 3515.0)","(2984.0, 3556.0)",73.498
"(1133.0, 8071.0)","(1124.0, 7998.0)",73.553
"(1124.0, 7998.0)","(1133.0, 8071.0)",73.553
"(1550.0, 4945.0)","(1507.0, 5005.0)",73.817
"(3534.0, 4208.0)","(3594.0, 4251.0)",73.817
"(3327.0, 5158.0)","(3270.0, 5205.0)",73.878
"(2944.0, 4676.0)","(2990.0, 4734.0)",74.027
"(1207.0, 8074.0)","(1133.0, 8071.0)",74.061
"(5020.0, 2351.0)","(5016.0, 2277.0)",74.108
"(4088.0, 2447.0)","(4036.0, 2500.0)",74.25
"(4036.0, 2500.0)","(4088.0, 2447.0)",74.25
"(3784.0, 2329.0)","(3714.0, 2304.0)",74.33
"(3714.0, 2304.0)","(3784.0, 2329.0)",74.33
"(3303.0, 3320.0)","(3350.0, 3378.0)",74.653
"(3350.0, 3378.0)","(3303.0, 3320.0)",74.653
"(4727.0, 2343.0)","(4762.0, 2277.0)",74.706
"(949.0, 9179.0)","(1011.0, 9221.0)",74.887
"(2671.0, 4495.0)","(2726.0, 4546.0)",75.007
"(3074.0, 3855.0)","(3049.0, 3784.0)",75.273
"(3318.0, 2269.0)","(3390.0, 2291.0)",75.286
"(3442.0, 4990.0)","(3434.0, 4915.0)",75.425
"(3434.0, 4915.0)","(3442.0, 4990.0)",75.425
"(1102.0, 7702.0)","(1163.0, 7747.0)",75.802
"(1713.0, 4966.0)","(1714.0, 4890.0)",76.007
"(1378.0, 9280.0)","(1303.0, 9267.0)",76.118
"(821.0, 9347.0)","(897.0, 9353.0)",76.236
"(1959.0, 9250.0)","(1888.0, 9280.0)",77.078
"(3427.0, 3658.0)","(3470.0, 3723.0)",77.936
"(2006.0, 5984.0)","(2069.0, 6030.0)",78.006
"(3660.0, 4112.0)","(3606.0, 4055.0)",78.518
"(1258.0, 7974.0)","(1189.0, 7936.0)",78.772
"(3635.0, 2302.0)","(3714.0, 2304.0)",79.025
"(4292.0, 1607.0)","(4250.0, 1540.0)",79.076
"(4250.0, 1540.0)","(4292.0, 1607.0)",79.076
"(3674.0, 3099.0)","(3751.0, 3118.0)",79.31
"(3617.0, 4613.0)","(3551.0, 4569.0)",79.322
"(3070.0, 4733.0)","(2990.0, 4734.0)",80.006
"(3702.0, 4608.0)","(3706.0, 4528.0)",80.1
"(3706.0, 4528.0)","(3702.0, 4608.0)",80.1
"(3526.0, 5218.0)","(3576.0, 5155.0)",80.43
"(3576.0, 5155.0)","(3526.0, 5218.0)",80.43
"(1982.0, 6326.0)","(1934.0, 6260.0)",81.609
"(3455.0, 2238.0)","(3433.0, 2317.0)",82.006
"(3030.0, 5218.0)","(2948.0, 5220.0)",82.024
"(3857.0, 2391.0)","(3779.0, 2417.0)",82.219
"(3755.0, 4974.0)","(3823.0, 4927.0)",82.662
"(3937.0, 2355.0)","(3934.0, 2272.0)",83.054
"(3934.0, 2272.0)","(3937.0, 2355.0)",83.054
"(688.0, 8942.0)","(741.0, 9006.0)",83.096
"(1236.0, 9034.0)","(1271.0, 9110.0)",83.672
"(3889.0, 3689.0)","(3965.0, 3725.0)",84.095
"(1907.0, 7288.0)","(1989.0, 7309.0)",84.646
"(4375.0, 1625.0)","(4292.0, 1607.0)",84.929
"(4990.0, 1803.0)","(4915.0, 1844.0)",85.475
"(4737.0, 1798.0)","(4694.0, 1872.0)",85.586
"(4694.0, 1872.0)","(4737.0, 1798.0)",85.586
"(3354.0, 4851.0)","(3289.0, 4794.0)",86.452
"(3910.0, 3198.0)","(3922.0, 3284.0)",86.833
"(3922.0, 3284.0)","(3910.0, 3198.0)",86.833
"(3493.0, 5127.0)","(3576.0, 5155.0)",87.596
"(3764.0, 4670.0)","(3702.0, 4608.0)",87.681
"(2082.0, 9238.0)","(2023.0, 9303.0)",87.784
"(1017.0, 8231.0)","(999.0, 8145.0)",87.864
"(999.0, 8145.0)","(1017.0, 8231.0)",87.864
"(3139.0, 3425.0)","(3056.0, 3396.0)",87.92
"(3793.0, 5293.0)","(3853.0, 5358.0)",88.459
